location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,2,2,1,1227,13000000,10594.95,2,2026,High End,4,1.0
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,3,4,7,1722,24400000,14169.57,2,2026,High End,7,0.75
Westlands,Apartment,2,2,1,1292,12700000,9829.72,2,2026,High End,4,1.0
Westlands,Apartment,2,2,1,1227,13000000,10594.95,2,2026,High End,4,1.0
Kilimani,Apartment,3,3,2,1442,14400000,9986.13,2,2026,Mid Range,6,1.0
Syokimau,Apartment,1,1,1,592,4800000,8108.11,2,2026,Mid Range,2,1.0
Syokimau,Apartment,2,2,1,1173,7500000,6393.86,2,2026,Mid Range,4,1.0
Syokimau,Apartment,2,2,1,1173,7500000,6393.86,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,2,3,1,1184,9000000,7601.35,2,2026,Mid Range,5,0.67
Kileleshwa,Apartment,4,5,2,2906,25800000,8878.18,2,2026,Mid Range,9,0.8
Kilimani,Apartment,2,2,7,1184,10700000,9037.16,2,2026,Mid Range,4,1.0
Kilimani,Apartment,2,2,7,1184,10700000,9037.16,2,2026,Mid Range,4,1.0
Kilimani,Apartment,2,2,7,1184,10700000,9037.16,2,2026,Mid Range,4,1.0
Kilimani,Apartment,2,2,7,1184,10700000,9037.16,2,2026,Mid Range,4,1.0
Westlands,Apartment,1,1,1,753,9200000,12217.8,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,721,9000000,12482.66,2,2026,High End,2,1.0
Kileleshwa,Apartment,3,3,2,1464,12500000,8538.25,2,2026,Mid Range,6,1.0
Kileleshwa,Apartment,5,6,2,3950,41000000,10379.75,2,2026,Mid Range,11,0.83
Kileleshwa,Apartment,2,3,1,1184,9000000,7601.35,2,2026,Mid Range,5,0.67
Kileleshwa,Apartment,4,4,2,2454,26000000,10594.95,2,2026,Mid Range,8,1.0
Kilimani,Apartment,2,2,1,1163,11200000,9630.27,2,2026,Mid Range,4,1.0
Syokimau,Apartment,3,3,1,1561,9700000,6213.97,2,2026,Mid Range,6,1.0
Syokimau,Apartment,3,3,1,1561,9700000,6213.97,2,2026,Mid Range,6,1.0
Kileleshwa,Apartment,3,3,2,1464,12500000,8538.25,2,2026,Mid Range,6,1.0
